id_vehiculo,matricula,nro_chasis,tipo,marca,modelo,estado
34,SALME1D41AA771223,9202817952,PICKUP,Volvo,V40,""
35,WBAKF9C53BE755861,5624718314,SEDAN,Mitsubishi,Pajero,""
36,WBA5A5C51FD387843,6621654561,SEDAN,Honda,S2000,""
37,2G4GT5GK0C9670891,9416359653,PICKUP,Chevrolet,Sportvan G20,""
38,NM0KS7AN1AT347419,7902527890,PICKUP,Mercury,Mountaineer,""
39,WA1UFAFL5EA948185,1899940251,HATCH,Toyota,Tacoma,""
40,WP0AA2A92FS205049,2017002518,SEDAN,Suzuki,Swift,""
41,19UUA56992A981252,1225003504,SEDAN,Volkswagen,Rabbit,""
42,JN8AZ1MU1EW012440,5810429300,SEDAN,Audi,A8,""
43,JA32U2FU1EU164701,1956446575,SEDAN,Oldsmobile,Custom Cruiser,""
44,1D7RB1GP4BS206073,7476341333,SEDAN,Mercury,Grand Marquis,""
45,4USBU33508L820508,1483065634,SUV,Hyundai,Sonata,""
46,JA32U2FU8FU969239,2424364540,PICKUP,Mitsubishi,Starion,""
47,SALAG2V69EA134427,9187003333,SUV,Pontiac,Bonneville,""
48,1FTMF1E85AF616938,5698238251,SUV,Lexus,LS,""
49,WA1WMAFE3DD891854,8905101763,SEDAN,Ferrari,F430,""
50,JN1CV6FE9CM037925,2041262729,HATCH,Toyota,Land Cruiser,""
51,WAURMAFD4EN628176,0591674297,SUV,Lexus,LX,""
52,5N1AA0NCXCN164833,7231788556,SEDAN,Lexus,IS,""
53,JN1CV6EK7DM059706,4401744152,PICKUP,Volkswagen,Golf,""
54,WBAYP1C59FD606083,8654866799,SUV,Oldsmobile,Achieva,""
55,3VWPG3AG3AM183980,8099561783,HATCH,Honda,Prelude,""
56,WA1EV74L88D412220,6968181908,SEDAN,Hyundai,Accent,""
57,JA4AS2AWXBU296020,3620024847,PICKUP,Ford,Taurus,""
58,SCBDP3ZA3AC432188,0491572751,SEDAN,Ford,Focus,""
59,JTDKN3DP2F3548642,4922475222,SEDAN,Honda,Civic,""
60,JN1AZ4EH4EM513075,8227470580,SEDAN,GMC,Sierra 1500,""
61,WAUAFAFL0CN791113,1814641173,SUV,Chevrolet,S10,""
62,TRUXD38J491755537,6078815415,SEDAN,Subaru,Legacy,""
63,2C3CCAJG8DH565222,0614315131,PICKUP,Ford,F-Series,""
64,WAULH54B61N119431,9755539336,HATCH,Buick,Enclave,""
65,WAUDFAFC9CN711370,9143229115,PICKUP,Volvo,S80,""
66,WBAXG5C54CC581436,8910037822,HATCH,Mitsubishi,Lancer Evolution,""
67,1GYS3CEF0BR771632,7850902815,HATCH,Alfa Romeo,Spider,""
68,3D7TP2HT5AG720559,6744580310,SEDAN,Ford,Explorer,""
69,WBA3V7C52EP387094,9810252242,PICKUP,Buick,LaCrosse,""
70,WBAEV33463K254440,2783470861,SEDAN,Pontiac,Firebird,""
71,JTHBE1BL2F1754705,0720493935,HATCH,Chevrolet,S10,""
72,3VW507AT5EM186708,7635258044,PICKUP,Cadillac,DeVille,""
73,JTJBC1BA7E2837574,8714363860,SUV,Subaru,Impreza,""
74,1G4GH5G32DF121101,4102589856,PICKUP,Lamborghini,Murciélago,""
75,5J6TF1H5XEL079565,8697151287,SUV,Cadillac,DeVille,""
76,JM3TB2CA1D0982898,0341294284,PICKUP,Dodge,Ram 1500 Club,""
77,KNADH4A32A6942377,8768529961,PICKUP,Volkswagen,Cabriolet,""
78,JN1CV6FE4DM076276,5064682816,HATCH,Saturn,S-Series,""
79,2HNYD28867H487492,7656248331,PICKUP,GMC,Savana 3500,""
80,WBA3V7C55FP807190,9636837309,SEDAN,Toyota,Paseo,""
81,WAUUL68E05A441931,0102578192,PICKUP,Pontiac,Grand Prix,""
82,1N6AA0EJ9FN367118,2896359443,PICKUP,Mitsubishi,Lancer,""
83,YV440MBMXF1704120,5432005549,HATCH,Dodge,Ram Wagon B250,""
84,1G4HC5EM3BU660107,6087260129,HATCH,Suzuki,Grand Vitara,""
85,WVWBB7AJ2DW002015,9574772810,HATCH,Ford,Ranger,""
86,1G4GB5ER0CF085660,1497066964,HATCH,Pontiac,Grand Prix,""
87,JN8AZ2KR8AT263584,3082228771,SUV,Mazda,Millenia,""
88,5LMJJ3H55DE288070,9197246662,PICKUP,Ford,Mustang,""
89,2HNYD18983H952609,2220852393,HATCH,Hummer,H2,""
90,WBXPC93419W290593,3642746780,HATCH,Hyundai,Elantra,""
91,SALAG2D41BA148432,4571444508,HATCH,BMW,Z4,""
92,2HNYD18646H415777,7363822174,SEDAN,Honda,Accord,""
93,YV4852CT8B1549039,5249248047,HATCH,Land Rover,LR3,""
94,YV1852AR4A1004314,9732371692,HATCH,Pontiac,Tempest,""
95,JH4CU2F67AC485132,1819266079,PICKUP,Nissan,350Z,""
96,1G6DJ577X80824391,2064451498,PICKUP,Dodge,Charger,""
97,WA1CFBFP3BA388831,6325765737,PICKUP,Honda,Ridgeline,""
98,1C4SDJCT5FC395437,4504325438,PICKUP,Buick,Rendezvous,""
99,1FT7W2A68EE139246,8274995368,SUV,Dodge,Dakota,""
100,1G6AX5S38E0676808,5335171510,HATCH,Hyundai,Genesis,""
